Account_ID,Account_Name,Current_Rep,ARR,Location,Num_Employees,Num_Marketers,Risk_Score
ACC-1000,Acme Corp,Lisa Wang,45177,TX,54503,4360,99
ACC-1001,TechStart Inc,Michael Brown,80367,NY,86168,6893,44
ACC-1002,GreenLeaf Solutions,Rachel Patel,372623,NY,190538,15245,3
ACC-1003,MedConnect Health,Rachel Patel,53388,TX,82643,6614,43
ACC-1004,PrimeWell Insurance,David Kim,19321,TX,51913,4154,1
ACC-1005,Atlas Energy,David Kim,413893,NC,149741,11980,19
ACC-1006,Summit Capital,Chris Johnson,340913,MI,3061,246,49
ACC-1007,DataSphere Analytics,David Kim,488940,NC,198511,15881,15
ACC-1008,MediFlow Logistics,David Kim,376632,OH,198904,15913,23
ACC-1009,PharmaBridge Supply,Lisa Wang,349511,MI,143352,11468,93
ACC-1010,BulkMart Retail,Michael Brown,285656,TX,5487,441,71
ACC-1011,CarePath Benefits,Chris Johnson,126521,GA,127982,10240,44
ACC-1012,SignalWave Telecom,Lisa Wang,41806,FL,18093,1449,61
ACC-1013,CloudNova Systems,Rachel Patel,182793,PA,92662,7415,8
ACC-1014,VitalSource Medical,Chris Johnson,456854,TX,9554,764,1
ACC-1015,Horizon Petroleum,Sarah Chen,330235,NC,86212,6898,68
ACC-1016,BuildRight Hardware,Lisa Wang,111667,CA,27895,2232,28
ACC-1017,QuickCare Pharmacy,Sarah Chen,105255,CA,183447,14676,35
ACC-1018,TrailBlaze Fuels,James Miller,393953,GA,83649,6692,60
ACC-1019,WellBridge Health,Chris Johnson,24240,IL,29734,2379,70
ACC-1020,Apex Auto Manufacturing,Alex Torres,248440,IL,111469,8917,56
ACC-1021,MotionDrive Vehicles,David Kim,444656,TX,110190,8818,43
ACC-1022,Pinnacle Financial,Maria Garcia,300880,IL,78435,6275,5
ACC-1023,NetPulse Communications,Alex Torres,154033,FL,181066,14488,16
ACC-1024,HealthFirst Managed Care,James Miller,243538,MI,113652,9093,65
ACC-1025,SocialGrid Technologies,Sarah Chen,35764,TX,158500,12680,85
ACC-1026,StreamLine Media,Chris Johnson,445549,OH,7536,602,20
ACC-1027,FuelCraft Energy,Lisa Wang,41602,NC,178713,14299,25
ACC-1028,SunRidge Refining,Alex Torres,80298,PA,133662,10693,4
ACC-1029,ByteForce Computing,Michael Brown,271319,MI,47848,3827,3
ACC-1030,ShopSmart Retail,Emily Davis,226223,NC,24508,1963,43
ACC-1031,HomeBase Mortgage,Chris Johnson,381301,TX,54079,4328,51
ACC-1032,SwiftShip Logistics,Michael Brown,100493,CA,169863,13590,27
ACC-1033,RenovateRight Supplies,Maria Garcia,309609,IL,137522,11003,6
ACC-1034,Liberty Banking,James Miller,478784,GA,40962,3277,28
ACC-1035,BioVance Pharma,David Kim,132493,OH,133497,10679,15
ACC-1036,RapidRoute Delivery,Alex Torres,259724,CA,81523,6522,60
ACC-1037,CareFirst Plans,Alex Torres,42644,FL,190927,15276,35
ACC-1038,WestPoint Finance,Maria Garcia,367913,MI,187050,14967,91
ACC-1039,ShieldGuard Insurance,Chris Johnson,209633,GA,136180,10897,31
ACC-1040,NovaCure Biotech,James Miller,221383,OH,38624,3089,87
ACC-1041,GlobalEdge Bank,Lisa Wang,499820,MI,53278,4265,19
ACC-1042,FreshWave Beverages,James Miller,144200,NY,4566,367,24
ACC-1043,ChipLogic Semiconductors,Lisa Wang,348207,NY,198202,15859,87
ACC-1044,EverBright Consumer,Michael Brown,433241,NC,110107,8811,25
ACC-1045,PowerGrid Industrial,David Kim,120037,GA,41371,3309,72
ACC-1046,CoreTech Enterprise,Chris Johnson,33250,NY,34282,2744,78
ACC-1047,SafeHaven Life,Alex Torres,465572,TX,7690,615,15
ACC-1048,TrustPoint Financial,Alex Torres,171639,OH,59682,4775,50
ACC-1049,StarVision Entertainment,Alex Torres,232322,MI,136915,10953,86
ACC-1050,Acme Corp Corp,Maria Garcia,22531,IL,157858,12628,54
ACC-1051,TechStart Inc Corp,Alex Torres,150454,TX,115625,9253,4
ACC-1052,GreenLeaf Solutions Corp,Lisa Wang,213726,TX,183661,14693,37
ACC-1053,MedConnect Health Corp,Michael Brown,317294,NC,62616,5011,40
ACC-1054,PrimeWell Insurance Corp,Alex Torres,187629,CA,146449,11715,82
ACC-1055,Atlas Energy Corp,Lisa Wang,58013,IL,57112,4570,93
ACC-1056,Summit Capital Corp,Alex Torres,493187,GA,141133,11293,88
ACC-1057,DataSphere Analytics Corp,Emily Davis,343592,IL,142629,11412,74
ACC-1058,MediFlow Logistics Corp,Michael Brown,336024,NC,117923,9433,81
ACC-1059,PharmaBridge Supply Corp,James Miller,167200,TX,100174,8013,70
ACC-1060,BulkMart Retail Corp,Chris Johnson,417001,PA,141290,11306,69
ACC-1061,CarePath Benefits Corp,David Kim,335066,MI,155023,12403,80
ACC-1062,SignalWave Telecom Corp,Sarah Chen,32560,TX,13869,1109,8
ACC-1063,CloudNova Systems Corp,Lisa Wang,53254,GA,94056,7526,97
ACC-1064,VitalSource Medical Corp,Emily Davis,444303,MI,82415,6593,50
ACC-1065,Horizon Petroleum Corp,Alex Torres,195695,TX,35690,2856,90
ACC-1066,BuildRight Hardware Corp,David Kim,488036,FL,132291,10583,92
ACC-1067,QuickCare Pharmacy Corp,Maria Garcia,83363,IL,68333,5467,53
ACC-1068,TrailBlaze Fuels Corp,Sarah Chen,352063,FL,96506,7721,37
ACC-1069,WellBridge Health Corp,James Miller,340902,PA,143169,11455,61
ACC-1070,Apex Auto Manufacturing Corp,Lisa Wang,104743,NC,70624,5651,10
ACC-1071,MotionDrive Vehicles Corp,Michael Brown,330810,IL,144554,11566,5
ACC-1072,Pinnacle Financial Corp,Chris Johnson,189526,GA,26307,2107,64
ACC-1073,NetPulse Communications Corp,Sarah Chen,485645,NC,153685,12295,54
ACC-1074,HealthFirst Managed Care Corp,Lisa Wang,203078,PA,35992,2882,4
ACC-1075,SocialGrid Technologies Corp,Alex Torres,275623,PA,189807,15184,83
ACC-1076,StreamLine Media Corp,Alex Torres,402166,OH,142573,11405,29
ACC-1077,FuelCraft Energy Corp,Chris Johnson,104251,CA,198533,15885,13
ACC-1078,SunRidge Refining Corp,Maria Garcia,290536,NC,85513,6842,94
ACC-1079,ByteForce Computing Corp,Maria Garcia,279377,GA,20271,1623,90
ACC-1080,ShopSmart Retail Corp,Sarah Chen,226367,PA,24472,1958,96
ACC-1081,HomeBase Mortgage Corp,Maria Garcia,16045,NY,169791,13586,36
ACC-1082,SwiftShip Logistics Corp,Chris Johnson,124019,OH,149407,11953,70
ACC-1083,RenovateRight Supplies Corp,David Kim,206554,TX,121635,9732,24
ACC-1084,Liberty Banking Corp,Michael Brown,496157,NY,73490,5881,96
ACC-1085,BioVance Pharma Corp,Emily Davis,193186,MI,76872,6152,78
ACC-1086,RapidRoute Delivery Corp,Michael Brown,491910,NY,62416,4994,23
ACC-1087,CareFirst Plans Corp,Maria Garcia,379080,MI,45958,3679,12
ACC-1088,WestPoint Finance Corp,James Miller,211218,PA,198397,15874,99
ACC-1089,ShieldGuard Insurance Corp,Maria Garcia,378597,GA,43342,3470,25
ACC-1090,NovaCure Biotech Corp,Maria Garcia,346751,CA,186672,14935,97
ACC-1091,GlobalEdge Bank Corp,Lisa Wang,274482,MI,123136,9853,71
ACC-1092,FreshWave Beverages Corp,Rachel Patel,408919,NC,39121,3132,4
ACC-1093,ChipLogic Semiconductors Corp,Michael Brown,418542,OH,46890,3751,88
ACC-1094,EverBright Consumer Corp,Sarah Chen,271964,PA,150809,12064,80
ACC-1095,PowerGrid Industrial Corp,Michael Brown,469912,CA,133848,10707,25
ACC-1096,CoreTech Enterprise Corp,Alex Torres,35370,PA,62454,4996,81
ACC-1097,SafeHaven Life Corp,Alex Torres,232366,NY,122544,9803,76
ACC-1098,TrustPoint Financial Corp,Maria Garcia,78526,TX,136332,10909,36
ACC-1099,StarVision Entertainment Corp,Emily Davis,69882,MI,198038,15844,79
ACC-1100,Acme Corp LLC,Alex Torres,62117,MI,154266,12343,75
ACC-1101,TechStart Inc LLC,Sarah Chen,264522,OH,169405,13553,78
ACC-1102,GreenLeaf Solutions LLC,Alex Torres,463752,FL,68958,5516,10
ACC-1103,MedConnect Health LLC,Michael Brown,231977,PA,22866,1832,38
ACC-1104,PrimeWell Insurance LLC,Lisa Wang,64102,MI,62281,4982,34
ACC-1105,Atlas Energy LLC,Sarah Chen,262956,GA,5965,477,90
ACC-1106,Summit Capital LLC,Maria Garcia,205240,CA,113583,9089,91
ACC-1107,DataSphere Analytics LLC,Chris Johnson,330230,CA,141076,11289,25
ACC-1108,MediFlow Logistics LLC,Chris Johnson,109655,GA,23887,1913,37
ACC-1109,PharmaBridge Supply LLC,James Miller,101444,MI,102320,8187,52
ACC-1110,BulkMart Retail LLC,David Kim,141790,MI,90321,7225,25
ACC-1111,CarePath Benefits LLC,Chris Johnson,313644,IL,174143,13931,92
ACC-1112,SignalWave Telecom LLC,Sarah Chen,286259,NC,95260,7621,97
ACC-1113,CloudNova Systems LLC,James Miller,439667,PA,122690,9815,43
ACC-1114,VitalSource Medical LLC,Emily Davis,111556,GA,167650,13415,51
ACC-1115,Horizon Petroleum LLC,Maria Garcia,228971,TX,106887,8552,80
ACC-1116,BuildRight Hardware LLC,Maria Garcia,159604,PA,3156,254,41
ACC-1117,QuickCare Pharmacy LLC,Sarah Chen,173644,NY,95207,7618,28
ACC-1118,TrailBlaze Fuels LLC,Chris Johnson,301957,NY,148974,11919,89
ACC-1119,WellBridge Health LLC,Alex Torres,310627,MI,158305,12667,37
ACC-1120,Apex Auto Manufacturing LLC,Maria Garcia,300924,NC,60588,4849,68
ACC-1121,MotionDrive Vehicles LLC,Lisa Wang,303173,GA,11615,930,58
ACC-1122,Pinnacle Financial LLC,Lisa Wang,72123,IL,56984,4558,24
ACC-1123,NetPulse Communications LLC,David Kim,430285,TX,29051,2326,74
ACC-1124,HealthFirst Managed Care LLC,Alex Torres,41167,FL,186191,14896,78
ACC-1125,SocialGrid Technologies LLC,Michael Brown,422506,PA,3278,264,75
ACC-1126,StreamLine Media LLC,Maria Garcia,162370,CA,133300,10666,21
ACC-1127,FuelCraft Energy LLC,Lisa Wang,164484,CA,3791,304,81
ACC-1128,SunRidge Refining LLC,Rachel Patel,234430,PA,93443,7475,54
ACC-1129,ByteForce Computing LLC,David Kim,396830,NC,103006,8243,40
ACC-1130,ShopSmart Retail LLC,Maria Garcia,407884,TX,197933,15834,57
ACC-1131,HomeBase Mortgage LLC,Alex Torres,190939,IL,111378,8912,99
ACC-1132,SwiftShip Logistics LLC,Chris Johnson,10911,CA,170485,13641,84
ACC-1133,RenovateRight Supplies LLC,Michael Brown,201780,PA,90697,7257,24
ACC-1134,Liberty Banking LLC,Emily Davis,212124,FL,128107,10251,4
ACC-1135,BioVance Pharma LLC,Maria Garcia,85981,NC,54357,4348,73
ACC-1136,RapidRoute Delivery LLC,Maria Garcia,321364,OH,123271,9864,18
ACC-1137,CareFirst Plans LLC,Maria Garcia,63018,FL,199582,15967,67
ACC-1138,WestPoint Finance LLC,David Kim,124964,PA,5024,404,85
ACC-1139,ShieldGuard Insurance LLC,Chris Johnson,70723,PA,176798,14145,93
ACC-1140,NovaCure Biotech LLC,James Miller,250969,NY,46522,3723,62
ACC-1141,GlobalEdge Bank LLC,Alex Torres,485500,IL,99093,7928,96
ACC-1142,FreshWave Beverages LLC,James Miller,275259,NC,67225,5380,91
ACC-1143,ChipLogic Semiconductors LLC,Lisa Wang,424013,IL,119828,9586,12
ACC-1144,EverBright Consumer LLC,Chris Johnson,157846,NY,195503,15640,90
ACC-1145,PowerGrid Industrial LLC,Rachel Patel,17111,CA,11002,882,91
ACC-1146,CoreTech Enterprise LLC,Rachel Patel,448817,TX,181073,14487,57
ACC-1147,SafeHaven Life LLC,Maria Garcia,477622,CA,152014,12164,59
ACC-1148,TrustPoint Financial LLC,Chris Johnson,303294,FL,39123,3132,52
ACC-1149,StarVision Entertainment LLC,Rachel Patel,115834,PA,97964,7840,24
ACC-1150,Acme Corp Group,Alex Torres,64278,GA,58313,4667,97
ACC-1151,TechStart Inc Group,Maria Garcia,201136,GA,132136,10571,50
ACC-1152,GreenLeaf Solutions Group,Emily Davis,304865,OH,96979,7760,94
ACC-1153,MedConnect Health Group,Emily Davis,386717,NY,114897,9191,90
ACC-1154,PrimeWell Insurance Group,Emily Davis,24578,PA,81182,6496,87
ACC-1155,Atlas Energy Group,Alex Torres,411279,FL,68040,5444,75
ACC-1156,Summit Capital Group,Rachel Patel,322016,MI,51949,4157,82
ACC-1157,DataSphere Analytics Group,Emily Davis,70522,GA,8719,700,19
ACC-1158,MediFlow Logistics Group,Lisa Wang,443102,NC,94663,7574,98
ACC-1159,PharmaBridge Supply Group,Alex Torres,240114,TX,188389,15074,1
ACC-1160,BulkMart Retail Group,Sarah Chen,487427,OH,93767,7501,27
ACC-1161,CarePath Benefits Group,David Kim,64805,MI,25440,2037,40
ACC-1162,SignalWave Telecom Group,Sarah Chen,394025,NY,156922,12556,18
ACC-1163,CloudNova Systems Group,David Kim,451743,CA,43681,3497,28
ACC-1164,VitalSource Medical Group,Sarah Chen,417983,NC,91220,7300,6
ACC-1165,Horizon Petroleum Group,Michael Brown,10147,GA,129699,10378,71
ACC-1166,BuildRight Hardware Group,Lisa Wang,48507,FL,143397,11471,6
ACC-1167,QuickCare Pharmacy Group,Chris Johnson,126762,MI,19769,1584,66
ACC-1168,TrailBlaze Fuels Group,Michael Brown,324838,TX,52158,4172,15
ACC-1169,WellBridge Health Group,David Kim,96456,GA,51739,4142,72
ACC-1170,Apex Auto Manufacturing Group,Lisa Wang,325603,FL,164864,13191,50
ACC-1171,MotionDrive Vehicles Group,Sarah Chen,257191,GA,135873,10871,86
ACC-1172,Pinnacle Financial Group,Sarah Chen,394907,TX,51770,4141,81
ACC-1173,NetPulse Communications Group,Alex Torres,419905,PA,65893,5273,64
ACC-1174,HealthFirst Managed Care Group,David Kim,425408,FL,92533,7402,2
ACC-1175,SocialGrid Technologies Group,Michael Brown,51690,OH,192598,15409,6
ACC-1176,StreamLine Media Group,Alex Torres,170245,MI,80537,6444,9
ACC-1177,FuelCraft Energy Group,James Miller,410676,NC,80727,6461,4
ACC-1178,SunRidge Refining Group,Maria Garcia,271796,MI,136478,10918,50
ACC-1179,ByteForce Computing Group,Michael Brown,57121,MI,38245,3062,47
ACC-1180,ShopSmart Retail Group,Lisa Wang,326015,TX,95093,7609,74
ACC-1181,HomeBase Mortgage Group,Emily Davis,196277,GA,120681,9655,58
ACC-1182,SwiftShip Logistics Group,Maria Garcia,469182,FL,143932,11515,60
ACC-1183,RenovateRight Supplies Group,Sarah Chen,463401,FL,25634,2052,87
ACC-1184,Liberty Banking Group,Lisa Wang,481058,NC,85709,6859,52
ACC-1185,BioVance Pharma Group,Rachel Patel,395749,NC,40830,3268,96
ACC-1186,RapidRoute Delivery Group,Michael Brown,318038,CA,33622,2690,85
ACC-1187,CareFirst Plans Group,David Kim,275416,OH,105996,8480,76
ACC-1188,WestPoint Finance Group,Maria Garcia,483677,TX,118836,9506,4
ACC-1189,ShieldGuard Insurance Group,Chris Johnson,462279,CA,109661,8774,10
ACC-1190,NovaCure Biotech Group,Michael Brown,477591,FL,55303,4424,4
ACC-1191,GlobalEdge Bank Group,James Miller,460432,MI,33551,2686,6
ACC-1192,FreshWave Beverages Group,James Miller,385166,OH,91614,7332,95
ACC-1193,ChipLogic Semiconductors Group,Sarah Chen,183818,CA,157033,12563,35
ACC-1194,EverBright Consumer Group,James Miller,123968,PA,52721,4220,11
ACC-1195,PowerGrid Industrial Group,David Kim,470292,PA,187882,15030,74
ACC-1196,CoreTech Enterprise Group,Michael Brown,321205,CA,177907,14232,43
ACC-1197,SafeHaven Life Group,James Miller,165163,IL,132099,10568,7
ACC-1198,TrustPoint Financial Group,James Miller,109371,GA,147244,11781,99
ACC-1199,StarVision Entertainment Group,James Miller,94939,NY,174446,13955,30
ACC-1200,Acme Corp Holdings,Chris Johnson,18878,MI,93389,7471,56
ACC-1201,TechStart Inc Holdings,Emily Davis,216673,PA,158648,12694,89
ACC-1202,GreenLeaf Solutions Holdings,Chris Johnson,144247,CA,124040,9925,44
ACC-1203,MedConnect Health Holdings,Alex Torres,21290,IL,99642,7972,45
ACC-1204,PrimeWell Insurance Holdings,Alex Torres,167583,NC,183973,14719,51
ACC-1205,Atlas Energy Holdings,James Miller,127902,NC,186080,14887,41
ACC-1206,Summit Capital Holdings,Sarah Chen,405970,IL,68198,5457,49
ACC-1207,DataSphere Analytics Holdings,Maria Garcia,424473,NY,45309,3625,30
ACC-1208,MediFlow Logistics Holdings,Michael Brown,360667,NC,79194,6337,84
ACC-1209,PharmaBridge Supply Holdings,Maria Garcia,469708,TX,14940,1198,68
ACC-1210,BulkMart Retail Holdings,David Kim,429600,GA,189196,15137,36
ACC-1211,CarePath Benefits Holdings,Alex Torres,162080,NC,21603,1729,53
ACC-1212,SignalWave Telecom Holdings,David Kim,382586,OH,19137,1530,5
ACC-1213,CloudNova Systems Holdings,Michael Brown,386647,OH,64525,5164,15
ACC-1214,VitalSource Medical Holdings,Lisa Wang,36830,IL,135360,10830,95
ACC-1215,Horizon Petroleum Holdings,Chris Johnson,162187,FL,77619,6209,41
ACC-1216,BuildRight Hardware Holdings,Sarah Chen,67947,NC,157211,12579,60
ACC-1217,QuickCare Pharmacy Holdings,Lisa Wang,138332,FL,196209,15696,53
ACC-1218,TrailBlaze Fuels Holdings,Maria Garcia,22318,NC,167331,13386,20
ACC-1219,WellBridge Health Holdings,Maria Garcia,90087,PA,38577,3086,59
ACC-1220,Apex Auto Manufacturing Holdings,Emily Davis,367786,NC,117948,9438,47
ACC-1221,MotionDrive Vehicles Holdings,Chris Johnson,410765,OH,14257,1140,58
ACC-1222,Pinnacle Financial Holdings,David Kim,301909,IL,133266,10661,94
ACC-1223,NetPulse Communications Holdings,Sarah Chen,143769,TX,120878,9673,76
ACC-1224,HealthFirst Managed Care Holdings,Chris Johnson,363638,PA,14669,1174,87
ACC-1225,SocialGrid Technologies Holdings,Lisa Wang,330994,NC,114174,9135,76
ACC-1226,StreamLine Media Holdings,Maria Garcia,454915,MI,82900,6632,70
ACC-1227,FuelCraft Energy Holdings,Emily Davis,342172,NC,112821,9028,79
ACC-1228,SunRidge Refining Holdings,Michael Brown,482173,MI,16588,1330,10
ACC-1229,ByteForce Computing Holdings,James Miller,160736,IL,108907,8715,20
ACC-1230,ShopSmart Retail Holdings,Sarah Chen,80345,NC,36703,2939,48
ACC-1231,HomeBase Mortgage Holdings,Rachel Patel,374886,NC,167947,13437,44
ACC-1232,SwiftShip Logistics Holdings,Emily Davis,45033,NY,108667,8693,63
ACC-1233,RenovateRight Supplies Holdings,Lisa Wang,170592,OH,38385,3071,37
ACC-1234,Liberty Banking Holdings,James Miller,319634,MI,86683,6937,35
ACC-1235,BioVance Pharma Holdings,Emily Davis,280767,GA,58774,4704,26
ACC-1236,RapidRoute Delivery Holdings,Maria Garcia,307591,FL,181051,14485,16
ACC-1237,CareFirst Plans Holdings,Emily Davis,489804,TX,2529,204,10
ACC-1238,WestPoint Finance Holdings,Maria Garcia,331350,OH,67487,5400,89
ACC-1239,ShieldGuard Insurance Holdings,Michael Brown,375867,FL,119448,9557,87
ACC-1240,NovaCure Biotech Holdings,Emily Davis,14816,NY,50032,4002,98
ACC-1241,GlobalEdge Bank Holdings,James Miller,27093,TX,177861,14229,79
ACC-1242,FreshWave Beverages Holdings,Chris Johnson,342854,OH,168645,13491,98
ACC-1243,ChipLogic Semiconductors Holdings,Lisa Wang,490949,MI,188379,15071,3
ACC-1244,EverBright Consumer Holdings,Sarah Chen,492849,NC,159650,12774,17
ACC-1245,PowerGrid Industrial Holdings,James Miller,409164,NC,147494,11801,20
ACC-1246,CoreTech Enterprise Holdings,Chris Johnson,355421,FL,8345,670,76
ACC-1247,SafeHaven Life Holdings,Rachel Patel,262085,PA,150491,12042,93
ACC-1248,TrustPoint Financial Holdings,David Kim,100455,GA,20837,1667,37
ACC-1249,StarVision Entertainment Holdings,Maria Garcia,151687,OH,121405,9713,54
ACC-1250,Acme Corp International,James Miller,322747,IL,14524,1162,13
ACC-1251,TechStart Inc International,Rachel Patel,342213,NC,15868,1271,5
ACC-1252,GreenLeaf Solutions International,David Kim,413723,CA,124747,9982,4
ACC-1253,MedConnect Health International,David Kim,450404,PA,28619,2291,28
ACC-1254,PrimeWell Insurance International,Emily Davis,457890,CA,103445,8275,42
ACC-1255,Atlas Energy International,Sarah Chen,433421,CA,56536,4524,50
ACC-1256,Summit Capital International,Rachel Patel,219872,CA,10556,844,62
ACC-1257,DataSphere Analytics International,Lisa Wang,436506,NY,185294,14824,20
